Garage_Cars,Year_Built,Gr_Liv_Area,Total_Bsmt_SF,First_Flr_SF,Wood_Deck_SF,Fireplaces,Lot_Area,Second_Flr_SF,Garage_Area
1,1920,1216,565,565,0,1,5520,651,355
2,2003,1986,847,847,120,1,8396,1139,434
1,1956,1202,1202,1202,0,0,8750,0,304
2,2001,1786,920,920,0,1,11250,866,608
2,2007,1780,920,920,0,1,12852,860,612
2,2000,1512,756,756,0,0,2980,756,440
2,1923,1603,784,819,0,1,9650,784,599
2,2005,1368,1368,1368,132,1,6955,0,474
2,1975,1055,1057,1055,0,1,2280,0,440
3,1998,2006,1982,2006,144,1,11675,0,938
1,1931,1818,1040,1226,0,2,7758,592,240
2,1998,1633,932,932,0,1,11184,701,460
2,2005,1310,1310,1310,0,1,8767,0,400
2,1926,960,850,960,0,0,6978,0,576
2,1989,1982,807,1175,0,1,11287,807,575
2,1998,1465,789,789,0,1,8402,676,393
2,1971,2365,1803,2365,200,2,17597,0,551
2,2000,1630,1630,1630,74,1,9750,0,451
2,1977,1208,1208,1208,198,1,11250,0,546
2,2001,2161,1257,1290,0,1,10400,871,570
2,1982,816,816,816,0,0,6600,0,816
3,2006,1776,1732,1776,0,1,15306,0,712
1,1983,816,816,816,315,0,6490,0,264
0,1920,1027,931,1027,0,1,5400,0,0
2,1937,1131,907,1131,0,0,5925,0,672
0,1895,1991,957,1034,0,0,8250,957,0
1,1920,438,290,438,0,0,8400,0,246
2,2007,1338,1338,1338,0,0,8640,0,598
2,1970,1302,630,630,0,0,2016,672,440
1,1958,792,792,792,0,0,5470,0,366
2,1935,1873,608,983,0,2,9670,890,786
4,1880,2640,1240,1320,181,1,11700,1320,864
3,2007,2161,1582,1610,178,1,10562,551,789
2,1962,1224,0,1224,0,0,9842,0,462
1,1949,1716,768,1148,0,1,11409,568,281
3,2007,1718,1705,1718,208,1,10637,0,826
2,1971,868,768,868,138,0,8425,0,576
2,1970,1277,1277,1277,0,1,10628,0,526
2,1998,1661,1649,1661,0,0,12137,0,598
2,2004,1709,970,970,0,0,2522,739,380
2,1955,864,864,864,0,0,8172,0,572
2,1977,1126,1126,1126,295,1,17400,0,484
0,2006,1143,1143,1143,0,0,7500,0,0
1,1953,1040,1040,1040,0,0,7942,0,293
2,1971,1320,1232,1320,0,1,16500,0,495
0,1910,2256,840,1128,0,0,9045,1128,0
3,1935,3086,666,1308,0,0,21281,1778,1200
0,1925,864,864,864,0,0,5604,0,0
2,2004,1200,600,600,0,0,3215,600,480
3,2007,1818,895,895,196,1,12568,923,774
1,1967,864,864,864,0,0,7130,0,312
2,1969,1851,1851,1851,0,1,11727,0,506
3,2008,2276,2271,2276,0,2,11778,0,1348
2,1910,1432,264,768,270,0,9600,664,360
2,1978,1400,672,672,0,1,7844,728,440
2,2003,1337,1337,1337,0,0,8450,0,531
1,1971,1092,525,525,0,0,1680,567,264
1,1952,1148,980,1148,0,0,6420,0,308
2,1910,1690,560,930,0,0,7200,760,624
1,1958,1632,1240,1632,289,1,9600,0,338
1,1956,882,0,882,0,0,12702,0,308
1,1962,1092,1092,1092,0,1,11616,0,288
2,1994,1657,832,832,144,0,14565,825,483
2,1984,1868,585,1140,268,1,12090,728,477
2,1964,1977,816,1127,0,1,9500,850,540
2,2007,1496,768,768,100,0,15810,728,572
2,2003,1405,1405,1405,136,1,3242,0,478
2,2005,1734,1734,1734,160,0,11645,0,660
3,2003,1944,1896,1944,208,3,12378,0,708
3,2008,1866,1858,1866,0,1,10110,0,870
1,1984,887,864,887,140,0,10447,0,288
3,2010,1856,1856,1856,113,1,11394,0,834
0,1924,784,784,784,0,0,6130,0,0
2,1995,1499,781,795,413,1,12438,704,473
2,1978,1548,804,804,108,1,2364,744,440
1,1955,1393,816,872,121,0,16466,521,300
2,1958,1312,1312,1312,0,1,11355,0,495
2,1984,1621,1208,1621,108,0,14145,0,440
1,1972,987,483,483,0,0,1680,504,288
0,1941,693,693,693,0,0,4118,0,0
1,1959,1357,1019,1357,0,1,11512,0,312
1,1977,907,876,907,0,0,16300,0,308
3,2000,2153,1440,1476,253,2,11050,677,736
0,1958,858,858,858,117,0,7207,0,0
2,2009,1478,1470,1478,0,1,4403,0,484
3,1957,1362,1040,1362,0,1,9450,0,768
1,1966,1228,1228,1228,0,0,8544,0,271
2,1966,1165,1127,1165,0,0,9020,0,490
1,1970,1092,546,546,0,0,1894,546,286
2,2009,1314,1300,1314,135,0,8640,0,552
3,2006,3390,1528,1528,204,1,18062,1862,758
2,2009,1547,756,764,169,0,8640,783,614
1,1977,1304,264,616,141,1,2665,688,336
2,1999,1471,729,742,0,0,3230,729,440
1,1959,960,960,960,144,0,6400,0,392
1,1927,520,520,520,49,0,6324,0,240
1,1932,1520,793,848,0,0,4500,672,281
1,1923,792,624,792,0,0,8520,0,287
2,1962,988,988,988,0,0,9100,0,624
1,1997,1694,569,854,0,1,8314,840,434
2,1994,1895,712,1086,143,1,10832,809,409
2,1999,1804,994,1028,140,1,7500,776,442
2,1962,1537,1319,1537,0,1,8400,0,462
1,1970,987,483,483,0,0,1869,504,280
2,2002,2267,1010,1010,120,1,8068,1257,390
2,1998,1636,952,952,0,1,7500,684,440
2,2009,1212,1212,1212,100,0,10420,0,460
1,1920,1336,637,897,0,0,11040,439,570
2,1963,1796,780,983,0,1,7056,813,483
3,2005,1498,1498,1498,144,1,11645,0,844
3,2004,2443,1158,1158,193,1,10625,1285,744
3,2005,1552,1552,1552,144,0,10084,0,782
1,1947,1284,720,720,0,0,3500,564,240
1,1982,816,816,816,168,0,8314,0,264
1,1918,1426,912,912,0,1,7642,514,216
2,1997,2236,964,993,0,1,13006,1243,642
2,2005,1565,1560,1565,196,1,5911,0,556
2,1996,1491,1491,1491,0,1,7777,0,571
2,2007,1838,1838,1838,154,2,11422,0,524
2,1976,2030,848,1118,0,1,12046,912,551
2,1968,894,894,894,0,1,8724,0,450
2,1977,1285,1243,1285,375,1,9620,0,473
1,1970,630,630,630,0,0,1526,0,286
3,1981,1842,1842,1842,857,1,50271,0,894
1,1962,1269,621,621,0,0,9360,648,280
2,1971,1052,1010,1052,0,0,8816,0,440
1,1915,1647,806,841,0,0,6858,806,216
2,1994,990,990,990,168,0,9750,0,528
2,1920,1167,915,1167,0,1,8731,0,495
2,1985,1732,741,977,192,1,9206,755,476
0,1940,1518,1580,1518,0,2,19550,0,0
0,1975,980,945,980,0,0,9400,0,0
2,1893,2775,1237,1521,105,1,13500,1254,880
2,1996,1661,799,827,158,1,10667,834,550
1,1910,1484,771,866,14,0,10320,504,264
1,1969,1360,1104,1360,160,1,13384,0,336
2,1910,1510,677,833,0,0,9600,677,720
1,1967,936,936,936,405,1,9825,0,384
2,1996,1776,821,821,286,1,9783,955,443
1,1956,1005,1005,1005,0,1,11050,0,319
2,1974,1173,1053,1173,0,2,10625,0,528
2,2005,1220,1220,1220,100,1,3182,0,397
2,1956,1811,1073,1811,0,1,14115,0,470
2,2005,1506,1494,1506,192,1,8251,0,672
1,1972,796,796,796,138,0,7689,0,336
2,1960,1138,1138,1138,0,1,15312,0,480
1,1956,1370,1058,1370,191,1,10000,0,300
2,1988,2060,1151,1164,0,1,10029,896,521
1,1923,1068,1124,1068,0,1,6120,0,288
1,1940,1717,901,1125,0,1,12400,592,410
2,1968,1978,832,1098,0,1,9900,880,486
2,1900,1428,712,848,264,0,6451,580,576
2,1984,1003,1003,1003,120,0,7937,0,588
2,1977,1285,660,1285,138,1,8197,0,528
1,1953,1008,1008,1008,0,0,8923,0,240
2,1974,1792,896,896,0,0,9000,896,480
1,1968,1160,1113,1160,81,0,17979,0,257
2,1954,988,988,988,0,0,21750,0,520
2,1996,2037,672,1302,100,1,10541,735,472
2,1972,1610,1124,1610,202,1,11358,0,515
2,2002,1444,1431,1444,144,0,10739,0,577
0,1961,1800,1800,1800,0,0,8513,0,0
3,1990,2196,2158,2196,84,1,14684,0,701
1,1945,747,747,747,0,0,4608,0,220
3,2005,1958,1026,1026,154,1,10625,932,936
2,1957,1478,1478,1478,114,2,8400,0,442
2,1939,1954,798,1137,0,2,15660,817,431
2,1984,889,864,889,0,0,12395,0,484
2,2005,1553,756,756,0,0,8125,797,615
2,1980,1556,716,716,161,1,1950,840,452
2,1976,1025,1015,1025,127,1,8660,0,370
2,1910,2019,728,1136,509,0,11414,883,532
2,1956,1074,894,1074,0,1,7450,0,396
2,1939,1118,793,793,0,1,7800,325,410
3,2000,2052,1107,1040,210,1,10125,1012,642
1,1956,928,928,928,261,0,13300,0,252
0,1925,1601,936,936,0,0,7288,665,0
3,2006,1574,1574,1574,144,1,11957,0,824
2,1969,1258,1198,1258,120,0,12900,0,400
3,1995,3627,1930,1831,361,1,35760,1796,807
2,1966,2087,832,976,133,0,12205,1111,444
2,2005,1270,1270,1270,0,0,7242,0,524
1,1920,1480,972,1044,0,0,5400,0,207
2,1967,1342,1372,1342,0,1,9790,0,457
2,1958,1344,819,1344,0,1,14375,0,525
3,2009,2334,1590,1627,144,1,12858,707,751
2,1952,1044,540,1044,0,0,8712,0,504
1,1931,1367,884,959,0,1,6240,408,560
1,1959,1040,1040,1040,0,0,7500,0,286
1,1916,1690,815,815,0,1,8850,875,225
1,1967,1052,1052,1052,0,1,11625,0,668
2,1975,1621,1621,1621,0,2,9373,0,478
2,1905,1912,482,1221,0,1,10800,691,672
2,2006,1301,1293,1301,216,1,7200,0,572
2,2003,1992,1053,1053,140,1,9375,939,648
3,2006,1746,698,698,0,1,9729,1048,350
2,1997,1604,926,926,0,1,8702,678,470
2,1935,3672,1836,1836,684,2,19800,1836,836
3,2007,2084,2078,2084,188,1,14803,0,1220
0,1912,2229,755,929,0,0,5520,929,0
1,1927,1666,1204,1204,0,0,5160,462,384
0,1946,3086,1598,1636,122,1,18030,971,0
2,1970,882,882,882,240,0,8400,0,525
0,1985,833,833,833,0,0,8780,0,0
2,1974,1494,1208,1494,296,2,15410,0,461
2,2006,1342,1342,1342,0,1,6240,0,550
3,2006,1718,1700,1718,216,1,12456,0,786
1,1930,713,713,713,0,0,10410,0,371
2,1960,1252,1602,1252,409,1,13500,0,564
2,1972,894,894,894,256,0,9800,0,552
3,2006,1802,1802,1802,158,1,13615,0,843
1,1948,972,972,972,0,1,8000,0,240
2,1993,2200,812,1101,168,1,14171,1099,453
2,2000,1690,915,940,0,1,9487,750,442
0,2007,1120,1120,1120,0,0,8402,0,0
2,1998,1924,1086,1086,208,1,12011,838,592
2,2006,1250,625,625,0,0,4017,625,625
1,1939,1132,608,608,0,0,6000,524,240
2,1998,1425,1425,1425,0,0,8685,0,591
2,2003,1948,847,847,0,1,7875,1101,434
2,1978,1441,855,855,28,1,2289,586,440
3,2007,2464,2418,2464,358,1,13693,0,650
1,1922,498,498,498,0,0,8088,0,216
2,1968,1040,1040,1040,188,0,7476,0,686
1,1953,1319,608,1319,66,0,10634,0,270
2,1976,2499,392,1487,0,1,9600,1012,527
3,1999,2599,1393,1422,668,1,14774,1177,779
1,1948,1079,570,617,135,1,5190,462,249
2,1960,1175,1175,1175,0,0,7635,0,484
1,1947,1531,756,1169,0,1,9350,0,209
2,1926,747,600,747,0,0,5825,0,528
1,1920,1245,1008,1060,0,0,8239,185,315
2,1968,1392,1392,1392,0,2,13560,0,576
0,2004,1158,1158,1158,0,0,7500,0,0
4,1993,1802,946,964,450,1,12361,838,1017
2,2005,1721,1721,1721,168,0,9254,0,554
2,1920,1128,698,698,30,0,7500,430,528
3,2006,1976,1976,1976,250,1,14977,0,908
2,2006,1220,1199,1220,105,0,7406,0,632
1,1955,768,768,768,0,1,8172,0,355
0,1910,968,600,600,0,0,5925,368,0
2,1976,1444,1444,1444,0,1,10400,0,473
2,2002,2031,1128,1128,0,1,9473,903,577
2,1949,1126,0,1126,0,0,8777,0,520
2,1923,832,678,832,0,1,9656,0,780
1,1900,720,448,448,0,0,7008,272,280
2,2007,1234,1234,1234,0,0,11049,0,484
2,1985,1298,1298,1298,165,1,11200,0,403
5,1925,1072,1072,1072,0,0,8635,0,1184
3,2005,2000,1910,2000,351,2,18261,0,722
3,2006,2589,1738,1738,0,1,16387,851,831
2,1972,768,768,768,58,0,8445,0,396
0,1912,1716,780,936,0,0,5687,780,0
2,1948,2320,0,1547,120,1,14762,720,672
3,2005,1922,1922,1922,178,1,14157,0,676
2,1964,1350,1248,1350,176,0,9020,0,520
3,2006,1588,1588,1588,144,1,10000,0,825
2,1963,1000,1000,1000,238,2,13050,0,575
2,1962,2486,1595,1611,0,1,33120,875,576
1,1961,888,920,888,0,0,8700,0,240
2,1961,1313,1313,1313,172,1,9350,0,610
2,1976,2898,1565,2898,0,1,15498,0,665
2,1953,1152,1152,1152,0,0,9373,0,636
0,1922,796,796,796,0,0,3636,0,0
2,2004,1269,1256,1269,146,1,3182,0,430
2,1961,988,988,988,0,0,9945,0,572
1,1937,1938,942,1265,0,1,11700,673,240
2,1980,2044,738,1277,28,1,10400,767,489
2,1999,1452,691,713,0,0,3768,739,506
2,1976,1370,1090,1370,0,1,10400,0,479
1,1953,1057,1057,1057,0,0,7922,0,246
1,1954,992,381,992,60,0,8842,0,319
1,1955,1150,1078,1150,0,0,9600,0,288
2,2004,1708,976,976,0,0,3363,732,380
2,2006,1550,1092,1112,0,0,8125,438,438
1,1900,1367,861,961,0,0,8405,406,384
1,1934,1660,715,849,0,1,11988,811,240
2,2003,1390,1390,1390,0,0,8810,0,545
2,2002,2169,1284,1284,192,1,9375,885,647
1,1948,1633,1027,1027,0,1,11851,606,240
1,1901,1173,592,933,0,0,5680,240,240
0,1916,1928,686,948,0,0,7082,980,0
2,2004,1414,1375,1414,144,1,3072,0,398
1,1925,1015,768,1015,0,0,6120,0,450
2,2006,1660,1660,1660,322,1,10182,0,500
1,1954,1278,854,854,0,0,7200,424,240
4,1953,2034,0,2034,483,0,43500,0,1041
1,1910,1049,356,671,0,0,5150,378,195
2,2004,1391,1391,1391,156,0,4282,0,530
2,2006,1604,1604,1604,123,1,8814,0,660
1,1910,1984,1242,1242,64,0,8094,742,360
2,2007,1358,1350,1358,192,1,7301,0,484
2,1938,1409,861,861,225,1,6240,548,528
2,1890,2495,1313,1313,0,1,10800,1182,342
1,1925,572,572,572,0,0,10200,0,200
2,1961,999,944,999,144,0,12122,0,588
3,1994,4316,2444,2444,382,2,21535,1872,832
3,1949,2002,1001,1001,0,0,6270,1001,871
2,2004,1158,1158,1158,0,0,13072,0,576
2,1955,1056,1056,1056,264,0,34650,0,572
1,1921,1107,629,727,0,0,9140,380,625
1,1924,1296,1107,1296,0,1,4853,0,260
1,1962,912,912,912,0,0,7150,0,252
2,1971,1587,1587,1587,0,1,10667,0,525
2,1987,1501,1501,1501,240,2,4054,0,512
2,1980,1032,516,516,279,1,1733,516,452
2,2007,1476,738,738,0,0,8145,738,552
1,1905,1376,738,714,0,0,7614,662,216
1,1915,1396,698,698,0,0,8730,698,384
2,2006,1432,1422,1432,297,1,9139,0,492
2,2005,1358,1358,1358,192,1,6904,0,484
2,1992,1482,384,812,100,1,9125,670,392
2,1964,1921,1921,1921,0,0,11136,0,576
2,1929,1517,792,792,0,2,11435,725,400
2,2007,1710,1710,1710,156,1,8118,0,557
2,2006,1492,738,738,0,0,10237,754,440
2,1966,1120,864,1120,0,1,10710,0,656
1,1956,1337,832,832,0,0,8382,505,263
1,1962,894,894,894,0,0,6600,0,308
2,2009,1508,1508,1508,0,2,17485,0,572
2,1960,1478,1478,1478,0,2,17600,0,498
2,1900,1416,780,940,0,0,9600,476,400
2,2006,1554,1554,1554,156,1,4590,0,627
3,2006,1531,1504,1531,184,1,10872,0,700
1,1940,672,672,672,0,0,4800,0,256
2,1978,1026,940,1026,0,0,10970,0,576
0,1905,1540,572,884,240,0,6000,656,0
2,1995,1995,930,950,275,1,11250,1045,610
0,1960,1556,1556,1556,0,0,8512,0,0
1,1973,988,462,526,0,1,1596,462,297
0,2007,1092,1092,1092,0,0,9278,0,0
1,1968,2142,896,1182,0,1,13000,960,509
2,1959,1472,0,1472,0,1,11650,0,484
2,2006,1496,654,664,100,1,17104,832,426
3,2006,2576,1234,1264,324,1,12438,1312,666
2,2008,5642,6110,4692,214,3,63887,950,1418
2,1976,1935,793,1142,0,1,12384,793,550
1,1959,1206,1206,1206,0,0,10725,0,312
1,1949,1382,0,1382,0,1,11800,0,384
2,1960,1429,1144,1429,216,2,14585,0,572
2,1978,1226,1226,1226,133,1,3876,0,484
2,1972,875,385,875,352,0,7200,0,728
3,2003,2668,1572,1572,400,2,13688,1096,726
2,1976,1117,1029,1117,144,1,7819,0,672
2,1957,1803,1134,1803,0,1,13125,0,484
2,1980,1036,1036,1036,133,1,3640,0,484
2,1999,1479,1468,1479,120,0,9382,0,577
2,1993,1879,1079,1079,400,1,10560,800,473
1,1971,874,864,874,0,0,6953,0,352
2,1960,2274,1105,1105,0,0,11600,1169,480
1,1972,780,780,780,196,0,7200,0,352
2,2000,1800,982,1007,100,1,8123,793,463
1,1939,1465,992,992,0,2,10164,473,240
2,1956,1898,1898,1898,0,2,26073,0,484
2,1977,2288,908,1316,321,2,13774,972,520
2,2003,1509,783,807,0,1,7875,702,393
3,2007,1600,1566,1600,0,1,14230,0,890
3,1993,3500,1733,1933,870,1,17242,1567,959
0,1922,864,864,864,0,0,4060,0,0
1,1956,968,0,968,0,0,8626,0,331
2,1979,1930,780,1085,192,1,11339,845,481
2,1976,2715,1142,1175,0,2,8963,1540,831
3,2004,2000,2000,2000,168,0,10386,0,888
1,1955,1098,1098,1098,0,0,7390,0,260
2,1996,1720,1720,1720,240,1,10593,0,527
1,1969,1096,1096,1096,240,0,15870,0,299
2,1978,1601,1271,1601,0,1,11880,0,478
2,2000,1892,982,1008,108,1,8220,884,431
2,1999,1790,873,882,0,0,9179,908,588
2,1900,2168,760,928,467,0,8660,928,576
2,1967,1829,1829,1829,0,0,10456,0,535
1,1955,1163,1162,1163,142,0,5820,0,220
2,2006,1342,1342,1342,0,1,6240,0,550
3,2003,2470,2535,2470,154,2,12720,0,789
2,2002,1861,916,920,146,0,13450,941,492
2,1997,1494,1479,1494,168,0,9236,0,576
3,2003,2283,1008,1008,120,1,11792,1275,632
0,1940,1306,728,1306,263,0,5350,0,0
4,2000,2787,1168,1168,312,2,11855,1619,820
2,2006,1550,1550,1550,0,0,5330,0,528
1,1954,1063,1056,1063,0,0,9920,0,280
1,1972,1302,630,630,185,0,1680,672,264
1,1920,864,592,432,0,0,9000,432,216
1,1964,1251,1251,1251,0,2,8800,0,461
2,1910,1436,676,760,147,0,8777,676,528
2,1965,1986,768,1186,0,3,13600,800,486
2,1999,1755,840,840,176,1,9468,915,530
1,1959,882,0,882,0,0,8339,0,294
1,1966,912,912,912,204,0,8169,0,315
3,2006,2828,1466,1466,125,1,9965,1362,1052
1,1920,1450,624,730,0,0,5350,720,288
2,2005,1536,768,768,100,1,10237,768,400
2,1999,2322,1037,1037,144,1,12460,1285,400
2,1967,1334,1334,1334,0,0,10140,0,477
2,1979,1625,1625,1625,136,1,23580,0,576
3,2006,2076,2076,2076,216,1,13891,0,850
2,1965,1073,1073,1073,0,0,10289,0,515
1,1940,919,600,600,0,0,6001,319,231
2,1991,1595,1582,1595,0,0,11070,0,672
1,1956,1073,1073,1073,0,0,9571,0,340
2,1995,2090,1220,1220,0,1,10000,870,556
2,1968,1295,1295,1295,0,0,11700,0,528
1,1954,1089,1089,1089,328,1,7440,0,252
0,1931,774,544,774,0,0,4270,0,0
2,1977,1069,1069,1069,0,1,4043,0,440
2,1978,1110,1097,1110,303,1,9101,0,602
0,1920,1452,736,736,0,0,4456,716,0
2,1958,1560,1560,1560,0,0,8078,0,484
3,2006,1258,1258,1258,144,1,3922,0,648
2,1996,1636,916,916,168,1,15038,720,386
2,1999,1983,978,1005,0,1,10762,978,490
2,1948,1325,409,1325,0,1,17541,0,576
2,1997,1525,813,813,421,1,8238,712,400
0,1930,1200,780,780,0,0,8155,420,0
2,1960,1560,1560,1560,0,3,25485,0,580
0,1994,990,990,990,0,0,8070,0,0
0,1872,2358,684,938,0,0,5250,1215,0
0,1971,858,858,858,0,0,8125,0,0
2,2006,1456,728,728,0,1,11103,728,440
1,1955,1056,1056,1056,0,0,13600,0,300
2,2004,1548,1365,1548,143,1,3072,0,388
3,2003,2046,998,1006,320,1,10625,1040,871
2,1971,864,864,864,216,0,10500,0,576
2,2004,1646,1594,1646,128,1,3842,0,482
1,1957,1236,1070,1236,0,1,10011,0,447
2,1978,2050,832,1154,192,1,13250,896,529
2,2001,1789,858,872,0,1,10646,917,546
2,2006,1294,1286,1294,168,1,6762,0,662
2,2003,1114,1114,1114,0,0,13695,0,576
2,1979,1586,1362,1586,192,1,17043,0,435
2,2007,1232,1232,1232,132,0,7314,0,632
1,1962,999,925,999,150,0,10205,0,300
2,1972,864,864,864,155,0,7200,0,576
3,2006,2945,1410,1426,192,1,13682,1519,641
2,1991,2417,1288,1301,127,1,16059,1116,462
3,2006,2640,2036,2036,0,1,13162,604,792
2,2005,1964,1100,1116,200,1,12447,848,760
1,1915,1605,840,840,0,0,5790,765,379
1,1920,1077,961,1077,0,0,8967,0,338
1,1959,1150,1150,1150,0,0,7945,0,300
1,1948,936,624,624,0,0,6956,312,265
2,2007,1340,1340,1340,100,0,8899,0,396
2,1926,1316,750,960,0,0,8550,356,576
1,1968,898,833,898,143,0,8400,0,326
2,2005,1490,745,745,36,1,8918,745,392
1,1921,1073,1073,1073,0,0,5400,0,326
0,1915,1526,1013,1013,0,0,8470,0,0
2,2005,1456,728,728,0,1,10237,728,390
2,1920,985,576,985,0,0,7898,0,676
2,1976,1044,960,1044,228,1,6285,0,528
3,2007,1702,1702,1702,0,1,10130,0,844
2,1998,2452,1028,1210,208,1,16226,1242,683
2,1971,1670,825,845,0,0,13355,825,464
2,1998,1204,1204,1204,0,0,4500,0,412
1,1954,984,936,984,0,0,6390,0,280
1,1942,976,976,976,160,0,7288,0,215
2,1978,1034,450,1034,311,1,7703,0,504
2,2004,1709,970,970,0,0,2522,739,380
3,2000,2172,1519,1533,162,1,11000,639,687
2,1962,1057,1057,1057,0,0,7420,0,576
2,2006,1370,1370,1370,120,1,6442,0,484
2,1990,2329,1475,1532,192,1,11839,797,514
1,1960,1100,1100,1100,355,1,12493,0,312
2,2003,1668,840,840,144,0,11317,828,500
